SEQN,cycle,paired_days,mean_daily_mims,mean_daily_actilife_steps,mean_nonmissing_step_minutes,mean_positive_step_minutes
79778,2013-2014,9,5712.930111111111,4321.777777777777,1281.0,420.44444444444446
79800,2013-2014,9,9831.047555555555,7434.555555555556,1281.0,763.2222222222222
79825,2013-2014,9,11474.353555555555,10624.333333333334,1281.0,930.6666666666666
79832,2013-2014,9,9668.664888888887,8486.777777777777,1281.0,662.2222222222222
79837,2013-2014,9,9252.132555555558,7894.888888888889,1281.0,634.7777777777778
79913,2013-2014,9,15449.110000000002,17252.444444444445,1281.0,778.0
79936,2013-2014,9,8773.266777777777,8502.888888888889,1281.0,675.0
79944,2013-2014,6,11666.688499999998,8836.833333333334,1274.0,740.8333333333334
79960,2013-2014,9,14290.062333333333,11458.555555555555,1281.0,742.1111111111111
79967,2013-2014,9,7138.091444444445,5009.888888888889,1281.0,626.7777777777778
79974,2013-2014,9,15018.553555555558,13055.0,1281.0,680.2222222222222
79982,2013-2014,9,11770.939666666667,13264.111111111111,1281.111111111111,731.5555555555555
80005,2013-2014,9,11762.322555555556,9189.222222222223,1281.111111111111,700.1111111111111
80009,2013-2014,9,9418.081444444444,7811.555555555556,1281.0,669.4444444444445
80014,2013-2014,9,5100.806555555555,3149.3333333333335,1281.0,553.4444444444445
80044,2013-2014,9,7488.823777777779,7053.666666666667,1281.0,598.6666666666666
80072,2013-2014,9,5667.970666666667,4436.333333333333,1281.0,516.6666666666666
80080,2013-2014,9,15008.977222222224,13221.111111111111,1281.0,716.4444444444445
80082,2013-2014,9,9239.262111111111,7454.111111111111,1281.0,598.5555555555555
80091,2013-2014,9,10063.88511111111,9333.444444444445,1281.0,738.5555555555555
80099,2013-2014,9,7982.630444444444,7009.777777777777,1281.0,719.6666666666666
80123,2013-2014,9,10621.394111111113,9705.555555555555,1281.0,748.6666666666666
80126,2013-2014,9,9107.873444444445,8384.222222222223,1281.0,589.5555555555555
80131,2013-2014,9,12599.854888888889,8654.333333333334,1281.0,596.1111111111111
